,News Title,News Paragraph
0,Join NASA for the Launch of the Mars 2020 Perseverance Rover,"No matter where you live, choose from a menu of activities to join NASA as we ""Countdown to Mars"" and launch the Perseverance rover to the Red Planet."
1,NASA's Perseverance Rover Attached to Atlas V Rocket,"Ready for its launch later in the month, the Mars-bound rover will touch terra firma no more."
2,7 Things to Know About the Mars 2020 Perseverance Rover Mission,NASA's next rover to the Red Planet is slated to launch no earlier than July 30. These highlights will get you up to speed on the ambitious mission.
3,NASA's InSight Flexes Its Arm While Its 'Mole' Hits Pause,"Now that the lander's robotic arm has helped the mole get underground, it will resume science activities that have been on hold."
4,Curiosity Mars Rover's Summer Road Trip Has Begun,"After more than a year in the ""clay-bearing unit,"" Curiosity is making a mile-long journey around some deep sand so that it can explore higher up Mount Sharp."
5,How NASA's Mars Helicopter Will Reach the Red Planet's Surface,"The small craft will seek to prove that powered, controlled flight is possible on another planet. But just getting it onto the surface of Mars will take a whole lot of ingenuity."
6,"The Launch Is Approaching for NASA's Next Mars Rover, Perseverance",The Red Planet's surface has been visited by eight NASA spacecraft. The ninth will be the first that includes a roundtrip ticket in its flight plan.
7,NASA to Hold Mars 2020 Perseverance Rover Launch Briefing,Learn more about the agency's next Red Planet mission during a live event on June 17.
8,"While Stargazing on Mars, NASA's Curiosity Rover Spots Earth and Venus",This new portrait of the Red Planet's neighbors was taken during a time when there's more dust in the air on Mars.
9,NASA's Mars Rover Drivers Need Your Help,"Using an online tool to label Martian terrain types, you can train an artificial intelligence algorithm that could improve the way engineers guide the Curiosity rover."
10,Three New Views of Mars' Moon Phobos,"Taken with the infrared camera aboard NASA's Odyssey orbiter, they reveal temperature variations on the small moon as it drifts into and out of Mars’ shadow."
11,The Extraordinary Sample-Gathering System of NASA's Perseverance Mars Rover,Two astronauts collected Moon rocks on Apollo 11. It will take three robotic systems working together to gather up the first Mars rock samples for return to Earth.
12,The Detective Aboard NASA's Perseverance Rover,"An instrument called SHERLOC will, with the help of its partner WATSON, hunt for signs of ancient life by detecting organic molecules and minerals."
13,MAVEN Maps Electric Currents around Mars that are Fundamental to Atmospheric Loss,"Five years after NASA’s MAVEN spacecraft entered into orbit around Mars, data from the mission has led to the creation of a map of electric current systems in the Martian atmosphere."
14,Air Deliveries Bring NASA's Perseverance Mars Rover Closer to Launch,A NASA Wallops Flight Facility cargo plane transported more than two tons of equipment — including the rover's sample collection tubes — to Florida for this summer's liftoff.
15,"NASA Wins 4 Webbys, 4 People's Voice Awards","Winners include the JPL-managed ""Send Your Name to Mars"" campaign, NASA's Global Climate Change website and Solar System Interactive."
16,"NASA's Perseverance Rover Goes Through Trials by Fire, Ice, Light and Sound","The agency's new Mars rover is put through a series of tests in vacuum chambers, acoustic chambers and more to get ready for the Red Planet."
17,NASA's Perseverance Rover Mission Getting in Shape for Launch,Stacking spacecraft components on top of each other is one of the final assembly steps before a mission launches to the Red Planet.
18,NASA Perseverance Mars Rover Scientists Train in the Nevada Desert,"Team members searched for signs of ancient microscopic life there, just as NASA's latest rover will on the Red Planet next year."
19,NASA's Perseverance Rover Will Look at Mars Through These 'Eyes',A pair of zoomable cameras will help scientists and rover drivers with high-resolution color images.
20,Meet the People Behind NASA's Perseverance Rover,These are the scientists and engineers who built NASA's next Mars rover and who will guide it to a safe landing in Jezero Crater.
21,"Q&A with the Student Who Named Ingenuity, NASA's Mars Helicopter","As a longtime fan of space exploration, Vaneeza Rupani appreciates the creativity and collaboration involved with trying to fly on another planet."
22,Alabama High School Student Names NASA's Mars Helicopter,"Vaneeza Rupani's essay was chosen as the name for the small spacecraft, which will mark NASA's first attempt at powered flight on another planet."
23,How NASA's Perseverance Mars Team Adjusted to Work in the Time of Coronavirus,"Like much of the rest of the world, the Mars rover team is pushing forward with its mission-critical work while putting the health and safety of their colleagues and community first."
24,NASA's Perseverance Mars Rover Gets Balanced,The mission team performed a crucial weight-balancing test on the rover in preparation for this summer's history-making launch to the Red Planet.
25,NASA's Curiosity Keeps Rolling As Team Operates Rover From Home,The team has learned to meet new challenges as they work remotely on the Mars mission.
26,Mars Helicopter Attached to NASA's Perseverance Rover,The team also fueled the rover's sky crane to get ready for this summer's history-making launch.
27,NASA's Perseverance Mars Rover Gets Its Wheels and Air Brakes,"After the rover was shipped from JPL to Kennedy Space Center, the team is getting closer to finalizing the spacecraft for launch later this summer."
28,The Man Who Wanted to Fly on Mars,"The Mars Helicopter is riding to the Red Planet this summer with NASA's Perseverance rover. The helicopter's chief engineer, Bob Balaram, shares the saga of how it came into being."
29,10.9 Million Names Now Aboard NASA's Perseverance Mars Rover,"As part of NASA's 'Send Your Name to Mars' campaign, they've been stenciled onto three microchips along with essays from NASA's 'Name the Rover' contest. Next stop: Mars."
30,NASA's Curiosity Mars Rover Takes a New Selfie Before Record Climb,"Along with capturing an image before its steepest ascent ever, the robotic explorer filmed its ""selfie stick,"" or robotic arm, in action."
31,NASA's Mars Perseverance Rover Gets Its Sample Handling System,The system will be collecting and storing Martian rock and soil. Its installation marks another milestone in the march toward the July launch period.
32,Virginia Middle School Student Earns Honor of Naming NASA's Next Mars Rover,"NASA chose a seventh-grader from Virginia as winner of the agency's ""Name the Rover"" essay contest. Alexander Mather's entry for ""Perseverance"" was voted tops among 28,000 entries."
33,NASA's Curiosity Mars Rover Snaps Its Highest-Resolution Panorama Yet,"To go along with the stunning 1.8-billion-pixel image, a new video offers a sweeping view of the Red Planet."
34,NASA to Reveal Name of Its Next Mars Rover,"After a months-long contest among students to name NASA's newest Mars rover, the agency will reveal the winning name — and the winning student — this Thursday."
35,The MarCO Mission Comes to an End,The pair of briefcase-sized satellites made history when they sailed past Mars in 2019.
36,A Year of Surprising Science From NASA's InSight Mars Mission,A batch of new papers summarizes the lander's findings above and below the surface of the Red Planet.
37,Mars InSight Lander to Push on Top of the 'Mole',"Engineers have a plan for pushing down on the heat probe, which has been stuck at the Martian surface for a year."
38,Common Questions about InSight's 'Mole',"The following Q&As with members of the team answer some of the most common questions about the burrowing device, part of a science instrument called the Heat Flow and Physical Properties Package (HP3)."
39,NASA Adds Return Sample Scientists to Mars 2020 Leadership Team,The leadership council for Mars 2020 science added two new members who represent the interests of scientists destined to handle and study the first samples from Red Planet.
